name,url
cryptofin-solidity,https://github.com/cryptofinlabs/cryptofin-solidity
kleros-interaction,https://github.com/kleros/kleros-interaction
SolRsaVerify,https://github.com/adria0/SolRsaVerify
ERC20-Token-and-ICO-Contract,https://github.com/halls7588/ERC20-Token-and-ICO-Contract
solidity-101,https://github.com/l-henri/solidity-101
0xbitcoin-token,https://github.com/0xbitcoin/0xbitcoin-token
Mastering-Blockchain,https://github.com/PacktPublishing/Mastering-Blockchain
uniswap-solidity,https://github.com/PhABC/uniswap-solidity
smart-contracts,https://github.com/DOSNetwork/smart-contracts
OrderStatisticsTree,https://github.com/rob-Hitchens/OrderStatisticsTree
bonding-curves,https://github.com/lsaether/bonding-curves
Unipool,https://github.com/k06a/Unipool
GIF,https://github.com/etherisc-legacy/GIF
erc721-validator,https://github.com/nibbstack/erc721-validator
dss-proxy-actions,https://github.com/makerdao/dss-proxy-actions
multisig-wallet-exercise,https://github.com/ConsenSys-Academy/multisig-wallet-exercise
exchange-wrappers,https://github.com/dydxprotocol/exchange-wrappers
contract,https://github.com/BitcoinHEX/contract
TokenTutorial,https://github.com/BlockDevsUnited/TokenTutorial
dss-deploy,https://github.com/makerdao/dss-deploy
webasm-solidity,https://github.com/TrueBitFoundation/webasm-solidity
liquidpledging,https://github.com/Giveth/liquidpledging
nftoken,https://github.com/iamdefinitelyahuman/nftoken
SolidityProgrammingEssentials,https://github.com/PacktPublishing/SolidityProgrammingEssentials
solidity-cborutils,https://github.com/smartcontractkit/solidity-cborutils
smart-contract,https://github.com/Instadapp/smart-contract
smart-contracts,https://github.com/HydroBlockchain/smart-contracts
thisartworkisalwaysonsale,https://github.com/simondlr/thisartworkisalwaysonsale
VeriSmart-benchmarks,https://github.com/kupl/VeriSmart-benchmarks
witnet-solidity-bridge,https://github.com/witnet/witnet-solidity-bridge
ipfs-eth-database,https://github.com/tooploox/ipfs-eth-database
abi2solidity,https://github.com/maxme/abi2solidity
dnssec-oracle,https://github.com/ensdomains/dnssec-oracle
solidity_patterns,https://github.com/maxwoe/solidity_patterns
solidity-sigutils,https://github.com/dsys/solidity-sigutils
solidityproject,https://github.com/XuHugo/solidityproject
testnet,https://github.com/shentufoundation/testnet
ProveIt,https://github.com/NoahZinsmeister/ProveIt
erc721-smart-contract,https://github.com/alpersonalwebsite/erc721-smart-contract
ngnt,https://github.com/token-mint/ngnt
ethroulette,https://github.com/rkalis/ethroulette
solidity-BN256G2,https://github.com/musalbas/solidity-BN256G2
deployments,https://github.com/aragon/deployments
raiden-contracts,https://github.com/raiden-network/raiden-contracts
WeIdentity-Contract,https://github.com/WeBankBlockchain/WeIdentity-Contract
PRE-Token,https://github.com/PresearchOfficial/PRE-Token
Simple-Cryptocurrency-ERC-20-Token-Template,https://github.com/IDouble/Simple-Cryptocurrency-ERC-20-Token-Template
SolidityFlattener,https://github.com/bokkypoobah/SolidityFlattener
TellorCore,https://github.com/tellor-io/TellorCore
LibCLL,https://github.com/o0ragman0o/LibCLL
pooled-cdai,https://github.com/ZeframLou/pooled-cdai
FlightSurety,https://github.com/udacity/FlightSurety
spend-ERC20-create-ERC721,https://github.com/fulldecent/spend-ERC20-create-ERC721
util-contracts,https://github.com/gnosis/util-contracts
robo-advisor-yield,https://github.com/Stakedllc/robo-advisor-yield
awesome-cryptocollectibles,https://github.com/cryptocopycats/awesome-cryptocollectibles
ownbit-multisig-contracts,https://github.com/bitbill/ownbit-multisig-contracts
govblocks-protocol,https://github.com/somish/govblocks-protocol
cursosolidity,https://github.com/jeffprestes/cursosolidity
BlockChainExploitation,https://github.com/cclabsInc/BlockChainExploitation
ERC1820,https://github.com/0xjac/ERC1820
Spawner,https://github.com/0age/Spawner
mythx-playground,https://github.com/Consensys/mythx-playground
Ethereum-Cookbook,https://github.com/PacktPublishing/Ethereum-Cookbook
Token-Contracts,https://github.com/DOSNetwork/Token-Contracts
solsha1,https://github.com/ensdomains/solsha1
ethereum-rockpaperscissors,https://github.com/ojroques/ethereum-rockpaperscissors
Oraclize-Tutorial,https://github.com/johnhckuo/Oraclize-Tutorial
InstaContract,https://github.com/Instadapp/InstaContract
BrightID-SmartContract,https://github.com/BrightID/BrightID-SmartContract
privacy-enabled-erc721,https://github.com/centrifuge/privacy-enabled-erc721
COIN,https://github.com/coindefi/COIN
contracts,https://github.com/TotlePlatform/contracts
Blockchain-Capstone,https://github.com/udacity/Blockchain-Capstone
smart-contracts,https://github.com/monerium/smart-contracts
purpose,https://github.com/nionis/purpose
DSTokenInterfaces,https://github.com/securitize-io/DSTokenInterfaces
ArianeeMaster,https://github.com/Arianee/ArianeeMaster
contracts-v2,https://github.com/nayms/contracts-v2
zk-nft-demo-contract,https://github.com/centrifuge/zk-nft-demo-contract
async-contracts,https://github.com/asyncart/async-contracts
contracts,https://github.com/2key/contracts
curve-bonded-tokens,https://github.com/tarrencev/curve-bonded-tokens
devcon5-contract-runtime-mutability,https://github.com/0age/devcon5-contract-runtime-mutability
Decentralized-World-Wide-Web-ERC-721,https://github.com/IDouble/Decentralized-World-Wide-Web-ERC-721
example-chainlinks,https://github.com/linkpoolio/example-chainlinks
solidity-201,https://github.com/filipmartinsson/solidity-201
dao-contracts,https://github.com/DigixGlobal/dao-contracts
pay-protocol,https://github.com/aragonlabs/pay-protocol
tokenzendr-contract,https://github.com/alofeoluwafemi/tokenzendr-contract
dss-interfaces,https://github.com/makerdao/dss-interfaces
payments-smart-contracts,https://github.com/mysteriumnetwork/payments-smart-contracts
awesome-ico-truths,https://github.com/openblockchains/awesome-ico-truths
price-feed,https://github.com/makerdao/price-feed
BatchedBondingCurves,https://github.com/okwme/BatchedBondingCurves
solidity-cookbook,https://github.com/matheusroleal/solidity-cookbook
blockchain,https://github.com/modolee/blockchain
dx-uniswap-arbitrage,https://github.com/gnosis/dx-uniswap-arbitrage
staking,https://github.com/aragon/staking
contracts,https://github.com/cryptovoxels/contracts
veil-contracts,https://github.com/veilco/veil-contracts
ds-chief,https://github.com/dapphub/ds-chief
atomic-markets,https://github.com/nori-dot-eco/atomic-markets
buffer,https://github.com/ensdomains/buffer
Ethereum-Solidity-inline-Assembly,https://github.com/IDouble/Ethereum-Solidity-inline-Assembly
contracts,https://github.com/nori-dot-eco/contracts
ethereum-adventure,https://github.com/willitscale/ethereum-adventure
RingCrypto,https://github.com/mattdf/RingCrypto
erc-792,https://github.com/kleros/erc-792
aragon-id,https://github.com/aragon/aragon-id
ds-pause,https://github.com/dapphub/ds-pause
solidity-rlp-encode,https://github.com/bakaoh/solidity-rlp-encode
qv_voting,https://github.com/AndreiD/qv_voting
dss-cdp-manager,https://github.com/makerdao/dss-cdp-manager
event-proofs,https://github.com/PISAresearch/event-proofs
my-ctf-challenges,https://github.com/shw9453/my-ctf-challenges
ds-weth,https://github.com/dapphub/ds-weth
punks.contracts,https://github.com/cryptopunksnotdead/punks.contracts
chadex,https://github.com/bokkypoobah/chadex
pyrrha-consensus,https://github.com/pandoraboxchain/pyrrha-consensus
ERC820,https://github.com/jbaylina/ERC820
dada_sc,https://github.com/powerdada/dada_sc
subjectivocracy,https://github.com/RealityETH/subjectivocracy
ds-guard,https://github.com/dapphub/ds-guard
